,CODE,note/location,EN,EL,PL,IT,ES,DE,PT,NL,FR,RO,TC,,,,,,,,
,nuts,FOOD GROUP,NUTS/SEEDS,ΞΗΡΟΙ ΚΑΡΠΟΙ/ΣΠΟΡΟΙ,ORZECHY/NASIONA,NOCI/SEMI,SEMILLAS DE NUEZ,NÜSSE/SAMEN,SEMENTES DE NOZES,NOTEN EN ZADEN,NOIX/GRAINES,ALUNE / SEMINTE,果仁/種籽,,,,,,,,
,spices,FOOD GROUP,SALT/SPICES,ΑΛΑΤΙ/ΜΠΑΧΑΡΙΚΑ,SÓL/PRZYPRAWY,SALE/SPEZIE,SAL/ESPECIAS,SALZ/GEWÜRZE,SAL/ESPECIARIAS,ZOUT/KRUIDEN EN SPECERIJEN,SEL/ÉPICES,SARE / CONDIMENTE,食鹽/香料,,,,,,,,
,additional,FOOD GROUP,ADDITIONAL GUIDANCE,ΕΠΙΠΛΕΟΝ ΟΔΗΓΙΕΣ,DODATKOWE ZALECENIA,GUIDA AGGIUNTIVA,ORIENTACIÓN ADICIONAL,ZUSÄTZLICHE ANLEITUNG,ORIENTAÇÃO ADICIONAL,OVERIGEN,ORIENTATIONS SUPPLÉMENTAIRES,INDICATII SI RECOMANDARI SUPLIMENTARE,額外指引,,,,,,,,
,str1,Page title,Complementary feeding: a survey on the Healthcare Professional practices,Οδηγίες Εισαγωγής Στερεών Τροφών σε Βρέφη,Rozszerzanie diety: badanie praktyk profesjonalistów medycznych,Linee guida per l'introduzione di cibi solidi ai bambini:,Pautas para la introducción de alimentos sólidos a los bebés:,Ergänzungsernährung: eine Umfrage zu den Praktiken von Gesundheitsfachkräften,Alimentação complementar: questionário sobre as práticas dos profissionais de saúde.,introductie van vaste voeding: een enquête onder beroepsbeoefenaren in de gezondheidszorg,Alimentation complémentaire : une enquête sur les pratiques des professionnels de la santé,Ghid pentru introducerea alimentelor solide la bebeluși,輔食餵養(Complementary Feeding)：醫護及專職醫療人員實務操作調查,,,,,,,,
,str2,info text,"The introduction of solid foods and drinks other than milk (complementary feeding) is a key developmental milestone that exerts powerful changes in terms of functional changes to the gastrointestinal tract, the immune system and metabolic processes. Moreover, the timing of food introduction appears crucial for the prevention of food allergy. The aim of the current survey is to collect information on the usual practices of healthcare professionals from different countries about the order of solid foods' introduction into the infants diet and the how this differs for infants at low or high risk for development of food allergy. ","Η εισαγωγή στερεών τροφών και υγρών εκτός του γάλακτος (συμπληρωματική σίτιση) είναι ένα βασικό αναπτυξιακό ορόσημο που επιφέρει ισχυρές αλλαγές όσον αφορά τις λειτουργικές αλλαγές στο γαστρεντερικό σωλήνα, το ανοσοποιητικό σύστημα και τις μεταβολικές διεργασίες. Επιπλέον, το χρονοδιάγραμμα της εισαγωγής των τροφών φαίνεται κρίσιμο για την πρωτογενή πρόληψη της τροφικής αλλεργίας. Στόχος της παρούσας έρευνας είναι να συλλέξει πληροφορίες σχετικά με τις συνήθεις πρακτικές των επαγγελματιών υγείας από διάφορες χώρες σχετικά με τη σειρά εισαγωγής των στερεών τροφών στη διατροφή των βρεφών και τον τρόπο αλλαγής αυτής της απόφασης σε περίπτωση αλλεργίας ή υψηλού κινδύνου βρέφη για αλλεργία. Η συμπλήρωση του ερωτηματολογίου απαιτεί περίπου 10 λεπτά.","Wprowadzanie pokarmów stałych oraz napojów innych niż mleko matki lub mleko modyfikowane do diety dziecka (rozszerzanie diety) jest kluczowym kamieniem milowym w rozwoju, który wywołuje istotne zmiany funkcjonalne w przewodzie pokarmowym, systemie immunologicznym oraz procesach metabolicznych. Ponadto, odpowiedni czas wprowadzania pokarmów wydaje się mieć kluczowe znaczenie w zapobieganiu alergiom pokarmowym. Celem niniejszej ankiety jest zebranie informacji na temat zwyczajowych praktyk profesjonalistów medycznych z różnych krajów dotyczących kolejności wprowadzania pokarmów stałych do diety niemowląt oraz jak ta decyzja jest modyfikowana w przypadku niemowląt z niskim lub wysokim ryzyku wystąpienia alergii.","L'introduzione di alimenti e bevande solidi diversi dal latte (alimentazione complementare) è una pietra miliare dello sviluppo chiave che determina potenti cambiamenti in termini di cambiamenti funzionali nel tratto gastrointestinale, nel sistema immunitario e nei processi metabolici. Inoltre, la tempistica dell'introduzione dietetica appare critica per la prevenzione primaria dell'allergia alimentare. Lo scopo della presente ricerca è raccogliere informazioni sulle pratiche abituali degli operatori sanitari di diversi paesi in merito all'ordine degli alimenti solidi nella dieta dei neonati e su come modificare questa decisione in caso di allergia o neonati ad alto rischio di allergia.","La introducción de alimentos y bebidas sólidos distintos de la leche (alimentación complementaria) es un hito clave en el desarrollo que produce cambios importantes en términos de cambios funcionales en el tracto gastrointestinal, el sistema inmunitario y los procesos metabólicos. Además, el momento de la introducción en la dieta parece fundamental para la prevención primaria de la alergia alimentaria. El objetivo de la presente investigación es recopilar información sobre las prácticas habituales de los profesionales de la salud de diferentes países en cuanto al orden de los alimentos sólidos en la dieta de los lactantes y cómo cambiar esta decisión en caso de alergia o lactantes de alto riesgo para la alergia.","Die Einführung fester Nahrungsmittel und Getränke außer Milch (Ergänzungsfütterung) ist ein wichtiger Entwicklungsmeilenstein, der starke Veränderungen im Hinblick auf funktionelle Veränderungen im Magen-Darm-Trakt, im Immunsystem und in Stoffwechselprozessen mit sich bringt. Darüber hinaus scheint der Zeitpunkt der diätetischen Einführung entscheidend für die primäre Prävention von Nahrungsmittelallergien zu sein. Ziel der aktuellen Umfrage ist es, Informationen über die übliche Vorgehensweise von Gesundheitsfachkräften aus verschiedenen Ländern hinsichtlich der Reihenfolge fester Nahrungsmittel in der Ernährung von Säuglingen zu sammeln und darüber, wie sich diese Entscheidung bei Säuglingen mit geringem oder hohem Allergierisiko ändert.","A introdução de alimentos sólidos e bebidas que não o leite (alimentação complementar) é um marco importante do desenvolvimento que exerce mudanças poderosas em termos de alterações funcionais no trato gastrointestinal, no sistema imunológico e nos processos metabólicos. Além disso, o momento da introdução alimentar parece crucial para a prevenção primária da alergia alimentar. O objetivo do presente estudo é recolher informações sobre as práticas habituais dos profissionais de saúde de diferentes países relativamente à ordem de introdução de alimentos sólidos na dieta do lactente e sobre como essa decisão é alterada no caso dos lactentes de baixo ou alto risco alérgico. ","De introductie van vaste voeding en dranken, anders dan zuigelingenvoeding, brengt belangrijke veranderingen teweeg in de darmfunctie, het immuunsysteem en metabole processen van de zuigeling .Bovendien is het tijdstip van de introductie van vaste voeding curciaal voor de primaire preventie van voedselallergie. Het doel van deze enquete is om informatie te verzamelen over de huidige adviezen die beroepsbeoefenaren in de gezondheidszorg geven ten aanzien van de introductie van vaste voeding bij zuigelingen met zowel een laag (als verhoogd risico op de ontwikkeling van allergie. ","L'introduction d'aliments solides et de boissons autres que le lait (alimentation complémentaire) est une étape clé du développement qui entraîne des changements importants en termes de modifications fonctionnelles du tractus gastro-intestinal, du système immunitaire et des processus métaboliques. De plus, le moment de l'introduction alimentaire semble crucial pour la prévention primaire des allergies alimentaires. L'objectif de l'enquête actuelle est de recueillir des informations sur les pratiques habituelles des professionnels de la santé de différents pays concernant l'ordre d'introduction des aliments solides dans l'alimentation des nourrissons et sur la manière dont cette décision est modifiée en cas de nourrissons à faible ou à haut risque d'allergie.","Introducerea alimentelor solide și a lichidelor, altele decât laptele (hrana complementară) este o piatră de hotar cheie în dezvoltare si aduce schimbări importante în ceea ce privește modificările funcționale ale tractului gastrointestinal, sistemului imunitar și proceselor metabolice. În plus, momentul introducerii alimentelor pare critic pentru prevenirea primară a alergiilor alimentare. Scopul acestei cercetări este de a colecta informații despre practicile obișnuite ale profesioniștilor din domeniul sănătății din diferite țări cu privire la ordinea introducerii alimentelor solide în alimentația sugarilor și la modul in care sunt influentate aceste decizii în caz de alergie sau sugari cu risc crescut de alergie. ",引進固體食物及除母乳/配方奶以外的飲品 (輔食餵養) 是嬰兒發展過程中的一個重要里程碑，對於胃腸道功能、免疫系統及新陳代謝過程帶來深遠影響。此外，食物引入的時間對於預防食物過敏至關重要。是次調查的目的是搜集來自不同國家的醫護及專職醫療人員有關引進固體食物的常規次序，以及這些做法如何影響嬰兒發生食物敏感的風險。,,,,,,,,
,str3,info text,Completion of the questionnaire will take approximately 10 minutes.,Η συμπλήρωση του ερωτηματολογίου απαιτεί περίπου 10 λεπτά.,Wypełnienie ankiety zajmuje około 10 minut.,La compilazione del questionario richiede circa 10 minuti.,Completar el cuestionario toma aproximadamente 10 minutos.,Das Ausfüllen des Fragebogens dauert ca. 10 Minuten.,O preenchimento do questionário requer aproximadamente 10 minutos.,Het invullen van de vragenlijst kost ongeveer 10 minuten,Le remplissage du questionnaire prend environ 10 minutes.,Completarea chestionarului durează aproximativ 10 minute.,完成問卷大約需要 10 分鐘。,,,,,,,,
,str4,info text,"If you agree to participate in this research, please type the password that was provided to you:","Εφόσον συμφωνείτε να συμμετέχετε στην έρευνα, παρακαλούμε εισάγετε τον κωδικό που σας δόθηκε:","Jeśli wyraża Pani/Pan zgodę na udział w ankiecie, proszę wpisać hasło, które zostało Pani/Panu przekazane:","Se accetti di partecipare al sondaggio, inserisci il codice fornito:","Si acepta participar en la encuesta, ingrese el código proporcionado:","Wenn Sie der Teilnahme an dieser Forschung zustimmen, geben Sie bitte das Passwort ein, das Sie erhalten haben:","Se concordar em participar neste estudo, digite a senha que lhe foi fornecida:","Als u mee wilt doen aan dit onderzoek, vult u dan alstublieft het password in dat u hebt ontvangen ","Si vous acceptez de participer à cette recherche, veuillez saisir le mot de passe qui vous a été fourni :","Dacă sunteți de acord să participați la sondaj, vă rugăm să introduceți codul care v-a fost furnizat:",如果您同意參與本研究，請輸入提供給您的密碼：,,,,,,,,
,str5,,Month,Μήνας,Miesiąc,Mese,Mes,Monat,Mês,Maand,Mois,Luna,月份,,,,,,,,
,str6,2nd group of questions,Complementary feeding,Οδηγίες Εισαγωγής Στερεών Τροφών σε Βρέφη: ,Rozszerzanie diety,Linee guida per l'introduzione di cibi solidi ai bambini:,Pautas para la introducción de alimentos sólidos a los bebés:,Ergänzungsfütterung,alimentação complementar,Vaste voeding,Alimentation complémentaire,Diversificarea alimentatiei / Alimentatie complementara,輔食餵養,,,,,,,,
,str7,,Please indicate the preferred order by dragging & dropping an item from the 'ADVICE' list to any other list,Παρακαλούμε υποδείξτε την προτιμώμενη σειρά σύροντας και αποθέτοντας ένα στοιχείο από τη λίστα 'ΟΔΗΓΙΕΣ' σε οποιοδήποτε άλλη λίστα,"Proszę wskazać preferowaną kolejność, przeciągając element z listy „ZALECENIA” do dowolnej innej listy",Si prega di indicare l'ordine preferito trascinando e rilasciando un articolo dall'elenco 'INDICAZIONI' a qualsiasi altro elenco,"Indique el orden preferido arrastrando y soltando un elemento de la lista ""SUGERENCIAS' a cualquier otra lista","Bitte geben Sie die gewünschte Reihenfolge an, indem Sie einen Artikel aus der Liste „RATGEBER“ per Drag & Drop in eine andere Liste ziehen",Indique a ordem preferida arrastando e soltando um item da lista 'CONSELHOS' para qualquer outra lista,"Geef de voorkeursvolgorde aan door een item van de ""ADVIES"" lijst te slepen naar één van de andere lijsten",Veuillez indiquer l'ordre préféré en faisant glisser un élément de la liste « CONSEILS » vers n'importe quelle autre liste,"Vă rugăm să indicați ordinea preferată trăgând și plasând un cuvant din lista ""Recomandari"" în cealtă listă",請將選項從「建議」清單拖曳到任何其他列表，以示優先次序,,,,,,,,
,str8,,Please indicate the preferred order by touching and holding an item from the 'Advice' list until a green border appears and then dragging it to any other list,Παρακαλούμε υποδείξτε την προτιμώμενη σειρά αγγίζοντας παρατεταμένα ένα αντικείμενο από τη λίστα 'ΟΔΗΓΙΕΣ' μέχρι να εμφανιστεί ένα πράσινο περίγραμμα και έπειτα σύροντάς το σε οποιαδήποτε άλλη λίστα.,"Proszę wskazać preferowaną kolejność, dotykając i przytrzymując element z listy 'ZALECENIA', aż pojawi się zielona ramka, a następnie przeciągnij go do dowolnej innej listy.",Indica il tuo ordine preferito toccando e tenendo premuto un elemento dall'elenco INDICAZIONI fino a quando non viene visualizzato un contorno verde e quindi trascinandolo in qualsiasi altro elenco.,Indique el orden preferido tocando y manteniendo presionado un elemento de la lista SUGERENCIAS hasta que aparezca un contorno verde y luego arrástrelo a cualquier otra lista.,"Bitte geben Sie die gewünschte Reihenfolge an, indem Sie ein Element aus der Liste „Beratung“ berühren und gedrückt halten, bis ein grüner Rand erscheint, und es dann in eine andere Liste ziehen","Indique a ordem preferida premindo e segurando um item da lista 'CONSELHOS' até que uma borda verde apareça e, de seguida, arrastando-o para qualquer outra lista","Geef de voorkeursvolgorde aan door een item van de ""ADVIES"" groep aan te raken, vast te houden tot een groene rand verschijt, en het item vervolgen te slepen naar een van de andere lijsten. ","Veuillez indiquer l'ordre préféré en touchant et en maintenant enfoncé un élément de la liste « Conseils » jusqu'à ce qu'une bordure verte apparaisse, puis en le faisant glisser vers n'importe quelle autre liste","Vă rugăm să indicați ordinea preferată atingând și menținând apăsat un produs din lista „RECOMANDARI” până când apare un contur verde, apoi trăgând-l în cealtă listă.",請長按「建議」清單中的任何選項直至綠色邊框出現，並拖曳至叧一列表中，以示您的首選次序,,,,,,,,
,str9,food picker,Not Allergic / Low-risk,Μη αλλεργικό / Χαμηλού κινδύνου,brak alergii / niskie ryzyko alergii pokarmowej,Anallergico / Basso rischio,No alergénico / Bajo riesgo,Nicht allergisch/geringes Risiko,Não Alérgico / Baixo risco,Niet allergisch/laag risico,Pas d'allergie / Faible risque,ne alergic / risc scazut de allergie,沒有食物過敏 / 低風險,,,,,,,,
,str10,food picker,High-risk,Υψηλού κινδύνου,wysokie ryzyko alergii pokarmowej,Alto rischio,Alto riesgo,Hohes Risiko,Alto risco,Hoog risico,Haut risque,Risc inalt,高風險,,,,,,,,
,str11,mobile version,Low-risk,Μη αλλεργικό,niskie ryzyko alergii pokarmowej,Anallergico,No alergénico,Niedriges Risiko,Baixo risco,Laag risico,Faible risque,Risc scazut,低風險,,,,,,,,
,str12,mobile version,High-risk,Υψηλού κινδύνου,wysokie ryzyko alergii pokarmowej,Alto rischio,Alto riesgo,Hohes Risiko,Alto risco,Hoog risico,Haut risque,Risc inalt,高風險,,,,,,,,
,str13,,Submit Form,Υποβολή ερωτηματολογίου,Prześlij kwestionariusz,Invia un questionario,Enviar un cuestionario,Formular abschicken,Enviar formulário,Formulier verzenden,Soumettre le formulaire,Submiteti chestionarul,提交表格,,,,,,,,
,str14,,Birth,Γέννηση,Narodziny,Nascita,Nacimiento,Geburt,Nascimento,Geboorte,Naissance,Nastere,出生,,,,,,,,
,str15,,Thank you for agreeing to participate. Please answer all the questions below and then click on the 'Submit Form' button.,Σας ευχαριστούμε που δεχτήκατε να συμμετέχετε. Παρακαλούμε απαντήστε σε όλες τις παρακάτω ερωτήσεις και έπειτα κάντε κλικ στο κουμπί 'Υποβολή ερωτηματολογίου'.,Dziękujemy za wyrażenie zgody. Po udzieleniu odpowiedzi na wszystkie poniższe pytania proszę kliknąć przycisk „Prześlij Formularz”.,Grazie per aver accettato di partecipare. Si prega di rispondere a tutte le domande di seguito e quindi fare clic sul pulsante 'Invia questionario'.,Gracias por aceptar participar. Responda todas las preguntas a continuación y luego haga clic en el botón 'Enviar cuestionario',"Vielen Dank, dass Sie der Teilnahme zugestimmt haben. Bitte beantworten Sie alle untenstehenden Fragen und klicken Sie anschließend auf die Schaltfläche „Formular absenden“.","Obrigado por concordar em participar. Por favor, responda a todas as perguntas abaixo e clique no botão 'Enviar formulário'.","Dank voor uw deelname. Wilt u alle onderstaande vragen invullen? Klik daarna op ""Formulier verzenden"".","Merci d'avoir accepté de participer. Veuillez répondre à toutes les questions ci-dessous, puis cliquez sur le bouton « Soumettre le formulaire ».",Vă mulțumim că ați acceptat să participați. Vă rugăm să răspundeți la toate întrebările de mai jos și apoi să faceți clic pe butonul „ Submiteti chestionarul”.,感謝您同意參加。請回答以下所有問題，然後點擊「提交表格」按鈕,,,,,,,,
,str16,,Submit Form,Υποβάλλετε το ερωτηματολόγιο,Prześlij Formularz,Invia un questionario,Enviar un cuestionario,Formular abschicken,Enviar formulário,Formulier verzenden,Soumettre le formulaire,Submiteti chestionarul,提交表格,,,,,,,,
,str17,,Basic Information,Βασικές Πληροφορίες,Podstawowe informacje,Informazioni di base,Información básica,Grundinformation,Informação geral,Basisinformatie,Informations de base,Informatii de baza,基本資料,,,,,,,,
,str18,error message,You have already added this item to this list,Έχετε ήδη προσθέσει αυτό το αντικείμενο σε αυτή τη λίστα,Ten element został już dodany do tej listy,Hai già aggiunto questo elemento a questo elenco,Ya has añadido este artículo a esta lista,Sie haben diesen Artikel bereits zu dieser Liste hinzugefügt,Já adicionou este item a esta lista,U heeft dit item al aan deze lijst toegevoegd,Vous avez déjà ajouté cet élément à cette liste,Ati adaugat deja acest produs in aceasta lista,您已經將此選項加入此清單,,,,,,,,
,str19,food picker,Advice,Οδηγίες,Zalecenia,Istruzioni,Instrucciones,Beratung,Conselho,Advies,Conseils,Recomandari,建議,,,,,,,,
,str20,,years,έτη,(lata),anni,años,Jahre,anos,jaar,années,ani,年份,,,,,,,,
,str21,,months,μήνες,miesiące,mesi,meses,Monate,meses,Maanden,mois,luni,月份,,,,,,,,
,str22,button at Homepage,Proceed,Συνέχεια,Kontynuuj,Proceed,Proceed,Proceed,Proceed,Doorgaan,Continuer,Continuare,繼續,,,,,,,,
,str23,button Validation,Please provide the correct password.,Παρακαλούμε εισάγετε το σωστό κωδικό πρόσβασης,Proszę podać poprawne hasło.,Please provide the correct password.,Please provide the correct password.,Please provide the correct password.,Please provide the correct password.,Vul een juist password in alstublieft,Veuillez fournir le mot de passe correct.,Vă rugăm să introduceți parola corectă,請提供正確的密碼,,,,,,,,
,str24,extra header statement,"While we acknowledge that individualized guidance is essential, please provide a general indication of when it is typically appropriate to consider introducing complementary foods to these infants.","Παρότι κατανοούμε ότι οι συμβουλές είναι εξατομικευμένες, παρακαλούμε παρέχετε μια γενική ένδειξη για πως συνήθως γίνεται η εισαγωγή στερεών τροφών στα βρέφη.","Zdajemy sobie sprawę, że wydawane przez Panią/Pana zalecenia dotyczące rozszerzania diety są dostosowywane indywidualnie do każdego pacjenta. Prosimy, aby przedstawiła/ł Pani/Pan ogólne zasady, kiedy zazwyczaj należy rozważyć wprowadzanie pokarmów uzupełniających do diety niemowląt.","Comprendiamo che i consigli saranno personalizzati, ma possiamo fornire un'indicazione generale su quando sia generalmente appropriato considerare l'introduzione di alimenti complementari per questi bambini.","Entendemos que los consejos serán personalizados, pero podemos proporcionar una indicación general de cuándo suele ser apropiado considerar la introducción de alimentos complementarios para estos bebés.","Wir verstehen, dass die Ratschläge individuell sein sollten, können aber einen allgemeinen Hinweis geben, wann es in der Regel angemessen ist, die Einführung von Beikost für diese Säuglinge in Betracht zu ziehen.","Compreendemos que os conselhos serão individualizados, mas podemos fornecer uma indicação geral de quando é geralmente apropriado considerar a introdução de alimentos complementares para esses bebês.","We begrijpen dat advies op maat belangrijk is, maar we kunnen een algemene indicatie geven van wanneer het doorgaans geschikt is om te overwegen om aanvullende voedingsmiddelen te introduceren bij deze baby's.","Nous comprenons que les conseils doivent être individualisés, mais nous pouvons vous donner une indication générale de quand il est généralement approprié de considérer l'introduction d'aliments complémentaires pour ces nourrissons.","înțelegem că sfaturile vor fi individualizate, dar vă rugăm să oferiți o indicație despre când considerați, în general, că acești sugari sunt pregătiți să înceapă introducerea alimentelor Solide /complementare.",我們明白個人化指引的重要性，但請提供在普遍情況下，何時合適為嬰幼兒添加不同種類的輔食食物。,,,,,,,,
