Q&A,INPUT TYPE,REQ?,CODE,EN,EL,PL,IT,ES,DE,PT,NL,FR,RO
,,,q8_a3,"Direct family history (i.e. parents, siblings) of any allergy, atopic dermatitis, asthma or rhinoconjuctivitis ","Οικογενειακό Ιστορικό(γονείς, αδέρφια) με  οποιαδήποτε αλλεργία, ατοπική δερματίτιδα, άσθμα ή αλλεργικής ρινoεπιπεφυκίτιδας.","Występowanie u najbliższych krewnych (np. rodzice, rodzeństwo) chorób alergicznych, atopowego zapalenia skóry, astmy, alergicznego nieżytu nosa i spojówek","Parenti stretti (genitori, fratelli/sorelle) con anamnesi di qualsiasi malattia allergia, dermatite atopica, asma o rinite.","Familiar inmediato (es decir, padres, hermanos) con antecedentes de alergia, dermatitis atópica, asma o fiebre del heno.","Enge Familienangehörige (d. h. Eltern, Geschwister) mit einer Vorgeschichte von Allergien, atopischer Dermatitis, Asthma oder Heuschnupfen.","Familiar de primeiro grau (ou seja, pais, irmãos) com histórico de qualquer alergia, dermatite atópica, asma ou febre do feno.","1e graads familieleden (ouders, broertjes of zusjes) met een allergie, zoals eczeem, astma, hooikoorts","Antécédents familiaux directs immédiats (c'est-à-dire parents, frères et sœurs) d'allergie, de dermatite atopique, d'asthme ou de rhinite allergique","Prezenta in antecedente familiale (părinți, frați) a oricarui tip de alergie, dermatită atopică, astm sau rinoconjunctivită alergică."
,,,q8_aother,Other,Αλλα,Inne,Altro,Otro,Andere,Outro,anders,Autre,Altele
,,,q8_aother_placeh,Please specify,Παρακαλώ διευκρινίστε,Proszę sprecyzuj,Per favore specificare,Por favor especifica,Bitte angeben,Por favor especifique,namelijk ,Veuillez préciser,Va rog specificati
,Radio Button (Yes/No),YES,q9a,Do you apply further measures in order to prevent food allergy in infants and young children at low risk for food allergy?,Εφαρμόζετε περαιτέρω μέτρα για την πρόληψη της τροφικής αλλεργίας σε βρέφη και μικρά παιδιά με χαμηλό κινδυνο εμφάνισης τροφικής αλλεργίας;,Czy wydaje Pani/Pan dodatkowe zalecenia mające na celu zapobieganie alergii pokarmowej u niemowląt i małych dzieci z niskim ryzykiem wystąpienia alergii pokarmowej?,Prendete ulteriori misure per prevenire l'allergia alimentare nei neonati e nei bambini a basso rischio di allergia alimentare?,¿Toma más medidas para prevenir la alergia alimentaria en bebés y niños pequeños con bajo riesgo de alergia alimentaria?,Ergreifen Sie weitere Maßnahmen zur Vorbeugung einer Nahrungsmittelallergie bei Säuglingen und Kleinkindern mit geringem Risiko einer Nahrungsmittelallergie?,Adota outras medidas para prevenir a alergia alimentar em bebés e crianças pequenas com baixo risco de desenvolver alergia alimentar?,Adviseert u nog iets anders ter voorkoming van voedselallergie bij zuigelingen en jonge kinderen met een hoog risico op het ontwikkelen van voedselallergie?,Appliquez-vous d'autres mesures pour prévenir les allergies alimentaires chez les nourrissons et les jeunes enfants à faible risque d'allergie alimentaire ?,Aplicati măsuri suplimentare pentru a preveni alergia alimentară la sugari și copiii mici cu risc scăzut de alergie alimentară?
,Radio Button (Yes/No),YES,q9b,Do you apply further measures in order to prevent food allergy in infants and young children at high risk for food allergy?,Εφαρμόζετε περαιτέρω μέτρα για την πρόληψη της τροφικής αλλεργίας σε βρέφη και μικρά παιδιά υψηλού κινδύνου για τροφική αλλεργία;,Czy wydaje Pani/Pan dodatkowe zalecenia mające na celu zapobieganie alergii pokarmowej u niemowląt i małych dzieci z wysokim ryzykiem wystąpienia alergii pokarmowej?,Applicate ulteriori misure per prevenire l'allergia alimentare nei neonati e nei bambini ad alto rischio di allergia alimentare?,¿Aplica medidas adicionales para prevenir la alergia alimentaria en bebés y niños pequeños con alto riesgo de alergia alimentaria?,Ergreifen Sie weitere Maßnahmen zur Vorbeugung einer Nahrungsmittelallergie bei Säuglingen und Kleinkindern mit einem hohen Risiko für eine Nahrungsmittelallergie?,Aplica outras medidas para prevenir alergia alimentar em bebés e crianças pequenas com alto risco de desenvolver alergia alimentar?,Adviseert u nog iets anders ter voorkoming van voedselallergie bij zuigelingen en jonge kinderen met een laag  risico op het ontwikkelen van voedselallergie?,Appliquez-vous d'autres mesures pour prévenir les allergies alimentaires chez les nourrissons et les jeunes enfants à haut risque d'allergie alimentaire ?,luați măsuri suplimentare pentru a preveni alergia alimentară la sugari și copiii mici cu risc crescut de alergie alimentară?
,Checkboxes (multiple),YES,q9_el,Please elaborate on the measures applied:,Αναφέρετε αναλυτικά τα μέτρα που εφαρμόζονται:,Proszę opisać bardziej szczegółowo co Pani/Pan zaleca: ,Si prega di precisare le misure applicate:,Por favor detalle las medidas aplicadas:,Bitte erläutern Sie die angewandten Maßnahmen:,Indique as medidas aplicadas:,Graag aangeven welke andere adviezen u geeft,Veuillez expliquer les mesures appliquées :,Referiti-va in detail la masurile care le aplicati
,,,q9_a1,Introducing soy protein-based formula in the first 6 mo of life to prevent cow's milk allergy,Εισαγωγή της φόρμουλας με βάση την πρωτεΐνη σόγιας στους πρώτους 6 μήνες της ζωής για την πρόληψη της αλλεργίας στο αγελαδινό γάλα,Wprowadzanie mleka modyfikowanego na bazie białka sojowego w pierwszych 6 miesiącach życia w celu zapobiegania alergii na białko mleka krowiego,Introduzione di formula a base di proteine della soia nei primi 6 mesi di vita per prevenire l'allergia al latte vaccino,Introducción de una fórmula a base de proteína de soya en los primeros 6 meses de vida para prevenir la alergia a la leche de vaca,"Einführung einer auf Sojaprotein basierenden Formel in den ersten 6 Lebensmonaten, um einer Kuhmilchallergie vorzubeugen",Introdução de fórmula à base de proteína de soja nos primeiros 6 meses de vida para prevenir a alergia ao leite de vaca,Introduceren van zuigelingenvoeding op sojabasis gedurende de eerste 6 maanden ter voorkoming van koemelkallergie,Introduction de formule à base de protéines de soja au cours des 6 premiers mois de vie pour prévenir l'allergie au lait de vache,Introducerea formulei pe bază de proteine ​​din soia în primele 6 luni de viață pentru a preveni alergia la laptele de vacă
,,,q9_a2,Partially or extensively hydrolysed formula,Μερικώς ή εκτενώς υδρολυμένη φόρμουλα,Częściowo lub całkowicie hydrolizowane mleko modyfikowane,Formula parzialmente o ampiamente idrolizzata,Fórmula parcial o ampliamente hidrolizada,Teilweise oder weitgehend hydrolysierte Formel,Fórmula parcialmente ou extensamente hidrolisada,Hypoallergene flesvoeding (partieel gehydrolyseerd) of intensief gehydrolyseerde flesvoeding,Formule partiellement ou totalement hydrolysée,Lapte praf hidrolizat partial sau extensiv 
,,,q9_a3,Restricting consumption of potential food allergens during pregnancy or breastfeeding,Περιορισμός της κατανάλωσης πιθανών τροφικών αλλεργιογόνων κατά τη διάρκεια της εγκυμοσύνης ή του θηλασμού,Ograniczenie spożycia potencjalnie alergizujących pokarmów w trakcie ciąży lub karmienia piersią,Limitazione del consumo di potenziali allergeni alimentari durante la gravidanza o l'allattamento,Restricción del consumo de posibles alérgenos alimentarios durante el embarazo o la lactancia,Einschränkung des Verzehrs potenzieller Nahrungsmittelallergene während der Schwangerschaft oder Stillzeit,Restrição do consumo de potenciais alergénios alimentares durante a gravidez ou amamentação,Beperken van sterk allergene voedingsmiddelen in het dieet van de moeder gedurende de zwangerschap of tijdens het geven van borstvoeding,Restriction de la consommation d'aliments potentiellement allergènes pendant la grossesse ou l'allaitement,Limitarea consumului de potențiali alergeni alimentari în timpul sarcinii sau alăptării
,,,q9_a4,Using emollients as skin barriers,Χρησιμοποιώντας μαλακτικά ως φραγμό του δέρματος,Stosowanie emolientów jako bariery ochronnej dla skóry,Utilizzo di emollienti come barriere cutanee,Uso de emolientes como barreras cutáneas,Verwendung von Weichmachern als Hautbarriere,Uso de emolientes como barreiras cutâneas,Gebruik van vette zalf voor de huidbarrière,Utilisation d'émollients comme barrières cutanées,Utilizand emolienți ca barieră pentru piele
,,,q9_a5,"Prebiotics, probiotics or synbiotics for pregnant and/or breastfeeding women and/ or infants","Πρεβιοτικά, προβιοτικά ή συνβιοτικά για έγκυες ή/και θηλάζουσες γυναίκες και/ή βρέφη","Stosowanie prebiotyków, probiotyków lub symbiotyków u kobiet w ciąży i/lub karmiących piersią i/lub niemowląt","Prebiotici, probiotici o simbiotici per donne in gravidanza e/o allattamento e/o neonati","Prebióticos, probióticos o simbióticos para mujeres embarazadas y/o lactantes y/o lactantes","Präbiotika, Probiotika oder Synbiotika für schwangere und/oder stillende Frauen und/oder Säuglinge","Prebióticos, probióticos ou simbióticos para grávidas e/ou lactantes e/ou lactentes","Gebruik van prebiotica, probiotica of synbiotica tijdens de zwangerschap, borstvoedingsperiode of door de zuigeling","Prébiotiques, probiotiques ou synbiotiques pour les femmes enceintes et/ou allaitantes et/ou les nourrissons","Prebiotice, probiotice sau sibiotice pentru femeile însărcinate și/sau care alăptează și/sau sugari"
,,,q9_a6,Vitamin supplementation or fish oil supplementation during pregnancy and/or breastfeeding women and/or infants,Συμπλήρωμα βιταμινών ή συμπλήρωμα ιχθυελαίου κατά τη διάρκεια της εγκυμοσύνης ή/και των γυναικών που θηλάζουν ή/και των βρεφών,Suplementację witamin lub oleju rybiego u kobiet w ciąży i/lub karmiących piersią i/lub niemowląt,Integrazione vitaminica o integrazione di olio di pesce in donne sane in gravidanza e/o in allattamento e/o neonati,Suplementos vitamínicos o suplementos de aceite de pescado durante el embarazo y/o mujeres lactantes y/o lactantes,Vitaminergänzung oder Fischölergänzung während der Schwangerschaft und/oder stillenden Frauen und/oder Säuglingen,Suplementação vitamínica ou suplementação com óleo de peixe durante a gravidez e/ou lactantes e/ou lactentes,"Vitamine of visolie suppletie gedurende de zwangerschap, borstvoedingsperiode  of door de zuigeling",Supplémentation en vitamines ou en huile de poisson pendant la grossesse et/ou l'allaitement et/ou pour les nourrissons,Supliment de vitamine sau supliment de ulei de pește în timpul sarcinii și/sau femeilor care alăptează și/sau sugari
,,,q9_a7,Regular cow's milk–based infant formula after the first week of life to prevent food allergy,Βρεφική φόρμουλα με βάση το αγελαδινό γάλα μετά την πρώτη εβδομάδα της ζωής για την πρόληψη της τροφικής αλλεργίας,Mleko modyfikowane na bazie białka mleka krowiego po pierwszym tygodniu życia w celu zapobiegania alergii pokarmowej,Formula standard per lattanti a base di latte vaccino dopo la prima settimana di vita per prevenire allergie alimentari,Fórmula infantil regular a base de leche de vaca después de la primera semana de vida para prevenir la alergia alimentaria,Regelmäßige Säuglingsnahrung auf Kuhmilchbasis nach der ersten Lebenswoche zur Vorbeugung von Nahrungsmittelallergien,Fórmula infantil regular à base de leite de vaca após a primeira semana de vida para prevenir alergia alimentar,Standaard flesvoeding op basis van koemelk vanaf 1 week na de geboort om voedselllergie te voorkomen,Formule infantile à base de lait de vache ordinaire après la première semaine de vie pour prévenir les allergies alimentaires,Lapte praf pentru sugari pe bază de lapte de vacă după prima săptămână de viață pentru a preveni alergiile alimentare
,,,q9_a8,Motivate exclusive breastfeeding until 6 months ,Παρακινείτε τον αποκλειστικό θηλασμό έως τους 6 μήνες ,Motywowanie do wyłącznego karmienia piersią przez pierwsze 6 miesięcy,Motivare l'allattamento al seno esclusivo nei primi 6 mesi ,Motivar la lactancia materna exclusiva hasta los 6 meses ,Motivieren Sie zum ausschließlichen Stillen bis zum 6. ,Promover a amamentação exclusiva até os 6 meses ,Uitsluitend borstvoeding gedurende 6 maanden ,Encouragement à l'allaitement exclusif jusqu'à 6 mois,Încurajati alăptarea exclusivă până la 6 luni
,,,q9_a9,Introducing common allergens such as egg and peanut early into the infant's diet (i.e. between 4-6months),Εισαγωγή κοινών αλλεργιογόνων όπως το αυγό και το φιστίκι από νωρίς στη διατροφή του βρέφους (δηλαδή μεταξύ 4-6 μηνών),"Wczesne wprowadzanie do diety dziecka powszechnych alergenów, takich jak jaja i orzeszki ziemne (tj. pomiędzy 4-6 miesiącem życia)",Introdurre precocemente allergeni comuni come uova e arachidi nella dieta del bambino (cioè tra i 4 e i 6 mesi),"Introducir alérgenos comunes como el huevo y el maní temprano en la dieta del bebé (es decir, entre los 4 y 6 meses)",Häufige Allergene wie Eier und Erdnüsse frühzeitig in die Ernährung des Säuglings einführen (d. h. zwischen dem 4. und 6. Monat),"Introduzir alérgenos comuns, como ovo e amendoim, precocemente na dieta do bebê (ou seja, entre 4 e 6 meses)","introductie van veel voorkomende allergenen zoals ei en pinda in het dieet van het kind, tussen 4 en 6 maanden",Introduction précoce d'allergènes courants tels que l'œuf et l'arachide dans l'alimentation du nourrisson (c'est-à-dire entre 4 et 6 mois),"Introducerea alergenilor obișnuiți, cum ar fi ouă și arahide, la începutul dietei sugarilor (adică între 4-6 luni)"
,,,q9_aother,Other,Άλλο,Inne,Altro,Otro,Andere,Outro,anders,Autre,Alta  masura
,,,q9_aother_placeh,Please explain,Παρακαλώ διευκρινίστε,Proszę opisać,Spiega per favore,Por favor explique,Bitte erkläre,Por favor indique qual,graag toelichten,Veuillez expliquer,Va rog precizati
,Radio Button (Yes/No),YES,q10,"Do you advise parents to introduce foods during complementary feeding in a specific order, when the child is not allergic or is at low risk for food allergy?","Συμβουλεύετε τους γονείς κατά την εισαγωγή των στερεών τροφών  να εισάγουν τις τροφές με συγκεκριμένη σειρά, όταν το παιδί δεν είναι αλλεργικό ή είναι χαμηλού κινδύνου για τροφική αλλεργία;",Czy zaleca Pani/Pan rodzicom wprowadzanie pokarmów podczas rozszerzania diety w określonej kolejności u dzieci bez alergii lub z niskim ryzykiem wystąpienia alergii pokarmowej?,"Consigli ai genitori di introdurre gli alimenti durante l'alimentazione complementare in un ordine specifico, quando il bambino non è allergico o è a basso rischio di allergia alimentare?","¿Aconseja a los padres introducir los alimentos durante la alimentación complementaria en un orden específico, cuando el niño no es alérgico o tiene bajo riesgo de alergia alimentaria?","Raten Sie Eltern, bei der Beikostfütterung Nahrungsmittel in einer bestimmten Reihenfolge einzuführen, wenn das Kind nicht allergisch ist oder ein geringes Risiko für eine Nahrungsmittelallergie besteht?","Aconselha os pais a introduzir os alimentos na alimentação complementar numa ordem específica, quando a criança não é alérgica ou tem baixo risco de alergia alimentar?",Adviseert u ouders om vaste voeding in een specifieke volgorde te introduceren bij een niet allergisch kind of een kind met een laag risico op het ontwikkelen van voedselallergie?,Conseillez-vous aux parents d'introduire des aliments dans un ordre spécifique pendant l'alimentation complémentaire lorsque l'enfant n'est pas allergique ou présente un faible risque d'allergie alimentaire ?,Recomandati parintilor atunci cand introduc alimentele solide sa introduca alimentele intr-o anumita ordine atunci cand copilul nu este alergic sau prezinta risc scazut de alergie alimentara?
,Radio Button (Yes/No),YES,q11,"Do you advise parents to introduce foods during complementary feeding in a specific order, when the child is at high risk for food allergy?","Συμβουλεύετε τους γονείς κατά την εισαγωγή των στερεών τροφών να εισάγουν τροφές με συγκεκριμένη σειρά, όταν το παιδί διατρέχει υψηλό κίνδυνο τροφικής αλλεργίας;",Czy zaleca Pani/Pan rodzicom wprowadzanie pokarmów podczas rozszerzania diety w określonej kolejności u dzieci z wysokim ryzykiem wystąpienia alergii pokarmowej?,"Consigli ai genitori di introdurre gli alimenti durante l'alimentazione complementare in un ordine specifico, quando il bambino è ad alto rischio di allergia alimentare?","¿Aconseja a los padres introducir los alimentos durante la alimentación complementaria en un orden específico, cuando el niño tiene un alto riesgo de alergia alimentaria?","Raten Sie Eltern, bei der Beikostfütterung Nahrungsmittel in einer bestimmten Reihenfolge einzuführen, wenn beim Kind ein hohes Risiko für eine Nahrungsmittelallergie besteht?","Aconselha os pais a introduzir os alimentos durante a alimentação complementar numa ordem específica, quando a criança apresenta alto risco de alergia alimentar?",Adviseert u ouders om vaste voeding in een specifieke volgorde te introduceren bij een niet allergisch kind of een kind met een hoog risico op het ontwikkelen van voedselallergie?,Conseillez-vous aux parents d'introduire des aliments dans un ordre spécifique pendant l'alimentation complémentaire lorsque l'enfant présente un risque élevé d'allergie alimentaire ?,Recomandati parintilor atunci cand introduc alimentele solide sa introduca alimentele intr-o anumita ordine atunci cand copilul  prezinta risc crescut de alergie alimentara?
,,,q12,Please mention here any food (eg traditional food in your area that you introduce in the 1st year of life and is not mentioned above):,Παρακαλώ αναφέρετε εδώ οποιοδήποτε τρόφιμο (π.χ. παραδοσιακό φαγητό στην περιοχή σας) που εισάγετε στο πρώτο έτος της ζωής και δεν έχει αναφερθεί παραπάνω:,"Proszę o podanie poniżej jedzenia (np. tradycyjne danie z Pani/Pana regionu), które wprowadza się w pierwszym roku życia i nie zostało wymienione powyżej:","Per favore, menziona qui eventuali cibi (ad esempio cibo tradizionale della tua zona) che vengono introdotti nel primo anno di vita e non sono stati menzionati sopra:","Por favor, menciona aquí cualquier alimento (por ejemplo, comida tradicional de tu área) que se introduzca en el primer año de vida y que no se haya mencionado anteriormente:","Bitte gib hier jegliche Nahrungsmittel an (z.B. traditionelle Speisen aus deiner Region), die im ersten Lebensjahr eingeführt werden und nicht oben genannt wurden:","Por favor, menciona aqui qualquer alimento (por exemplo, comida tradicional da tua região) que seja introduzido no primeiro ano de vida e que não tenha sido mencionado acima:",Geef hier alsjeblieft aan welk voedsel dan ook (bijvoorbeeld traditioneel voedsel uit jouw regio) dat in het eerste levensjaar wordt geïntroduceerd en niet hierboven is genoemd:,"Veuillez mentionner ici tout aliment (par exemple, une nourriture traditionnelle de votre région) introduit au cours de la première année de vie et qui n'a pas été mentionné ci-dessus:","Te rog menționează aici orice aliment (de exemplu, mâncare tradițională din zona ta) pe care îl introduci în primul an de viață și care nu a fost menționat mai sus:"
,Checkbox (multiple),NO,q14,Which of the following food supplements would you recommend for a child with a high risk of developing allergy,Ποιο από τα παρακάτω συμπληρώματα διατροφής θα προτείνατε για ένα παιδί με υψηλό κίνδυνο να αναπτύξει αλλεργία;,Które z poniższych suplementów zaleciłaby/zaleciłby Pani/Pan dziecku z wysokim ryzykiem wystąpienia alergii?,Quale dei seguenti integratori alimentari consiglieresti per un bambino ad alto rischio di allergia?,¿Cuál de los siguientes complementos alimenticios recomendaría a un niño con alto riesgo de desarrollar alergia?,Welches der folgenden Nahrungsergänzungsmittel würden Sie einem Kind mit einem hohen Allergierisiko empfehlen?,Qual dos seguintes suplementos alimentares recomendaria para uma criança com alto risco de desenvolver alergia?,Welke supplementen adviseert u een kind met een hoog risico op het ontwikkelen van allergie?,"Parmi les compléments alimentaires suivants, lesquels recommanderiez-vous pour un enfant présentant un risque élevé de développer une allergie ?",Care dintre următoarele suplimente alimentare le-ați recomanda unui copil cu risc crescut de a dezvolta o alergie?
,,,q14_a1,Iron,Σίδηρος,Żelazo,Ferro,Hierro,Eisen,Ferro,IJzer,Fer,Fier
,,,q14_a2,Multivitamin,Πολυβιταμίνη,Preparat multiwitaminowy,Multivitaminico,Multivitamina,Multivitamin,multivitamínico,Multivitamine,Multivitamines,Multivitamine
,,,q14_a3,Omega-3,Ωμέγα 3,Kwasy tłuszczowe omega-3,Omega 3,Omega 3,Omega-3,Ómega-3,Omega 3,Oméga-3,Omega-3
,,,q14_a4,Probiotic,Προβιοτικά,Probiotyk,Probiotico,probiótico,Probiotisch,Probiótico,Probiotica,Probiotique,Probiotice
,,,q14_a5,Prebiotic,Πρεβιοτικά,Prebiotyk,Prebiotico,Prebiótico,Präbiotisch,Prebiótico,Prebiotica,Prébiotique,Prebiotice 
,,,q14_a6,Synbiotic,Συμβιοτικά,Synbiotyk,simbiotico,simbiótico,Synbiotisch,simbiótico,Synbiotica,Synbiotique,Simbiotice
,,,q14_a7,Vitamin A,Βιταμίνη Α,Witamina A,Vitamina A,vitamina a,Vitamin A,Vitamina A,Vitamine A,Vitamine A,Vitamina A
